shader,000_SKY_1ST,000_SKY_2ND,Light_Directional_use_implicit_lighting,PLANARMAP0AXIS,PLANARMAP1AXIS,PLANARMAP2AXIS,SPECULARMODE,SWITCH_ALPHATEST,SWITCH_BILLBOARD,SWITCH_BILLBOARDY,SWITCH_BILLBOARDY_PAT,SWITCH_BILLBOARDY_PAT_S,SWITCH_CHRLIGHT,SWITCH_CRYSTAL,SWITCH_DEPTHALPHA,SWITCH_DIFFUSEMAP0,SWITCH_DIFFUSEMAP1,SWITCH_DIFFUSEMAP1EDGEALPHA,SWITCH_DIFFUSEMAP2,SWITCH_DIFFUSEMAPCOLOR0,SWITCH_DIFFUSEMAPCOLOR1,SWITCH_DIFFUSEMAPCOLOR2,SWITCH_DISSOLVE,SWITCH_DITHERDISABLE,SWITCH_DOUBLESIDE,SWITCH_DUDVENABLE0,SWITCH_DUDVENABLE1,SWITCH_DUDVENABLE2,SWITCH_DUDVMAP,SWITCH_EDGEBIAS_TEX0_ALPHA,SWITCH_ENVMAP0,SWITCH_FACE_LIGHT_ADJUST,SWITCH_FAKE_SPECULAR,SWITCH_GEOMETRYMORPH,SWITCH_GLOW,SWITCH_GLOWMAP0,SWITCH_GLOWMAP0EDGEALPHA,SWITCH_GLOWMAP1,SWITCH_GLOWMAP_FOGINT,SWITCH_GRENDEL,SWITCH_HEIGHTMAPBLEND,SWITCH_HIGHLIGHT,SWITCH_LOD,SWITCH_MASKMAP0,SWITCH_MASKMAP1,SWITCH_MASKMAP2,SWITCH_METAL,SWITCH_MULTIPASS_SRC,SWITCH_MULTIPASS_TGT,SWITCH_NEARFADE,SWITCH_NOLIGHT,SWITCH_NORMALMAP0,SWITCH_NORMALMAP1,SWITCH_NORMALMAP2,SWITCH_OUTLINE,SWITCH_PARALLAXMAP0,SWITCH_PARALLAXMAP1,SWITCH_PARALLAXMAP2,SWITCH_PLANARMAP0,SWITCH_PLANARMAP0_ROTATE,SWITCH_PLANARMAP1,SWITCH_PLANARMAP1_ROTATE,SWITCH_PLANARMAP1_SINGLESIDE,SWITCH_PLANARMAP2,SWITCH_PLANARMAP2_SINGLESIDE,SWITCH_PLANTGROW,SWITCH_PRE_TRANSPARENT,SWITCH_RAYMARCH_SHADOW,SWITCH_REFRACTION,SWITCH_RIMALPHA,SWITCH_SCALE_UV_SYNC0,SWITCH_SCALE_UV_SYNC1,SWITCH_SCALE_UV_SYNC2,SWITCH_SHADOWONLY,SWITCH_SHADOWRECEIVE,SWITCH_SHAKING,SWITCH_SHAKINGVCOLOR,SWITCH_SPECULAR_MASK_BY_COLOR0_B,SWITCH_SPECULAR_PITCH_ADJUST,SWITCH_SPHEREMAP,SWITCH_SSR,SWITCH_TONEMAPPING,SWITCH_TOONMAP,SWITCH_TOONMASK,SWITCH_TRANSLUCENTMAP,SWITCH_VERTEXCOLOR,SWITCH_VERTEXCOLOR0,SWITCH_VERTEXCOLOR1,SWITCH_WATER_RIPPLE,SWITCH_WATER_RIPPLE_SOURCE,SWITCH_ZPREPASS,Switch_AlphaTest,Switch_Billboard,Switch_BillboardY,Switch_BillboardY_Pat,Switch_BillboardY_Pat_S,Switch_ChrLight,Switch_Crystal,Switch_DUDVEnable0,Switch_DUDVEnable1,Switch_DUDVEnable2,Switch_DUDVMap,Switch_DepthAlpha,Switch_DiffuseMap0,Switch_DiffuseMap1,Switch_DiffuseMap1EdgeAlpha,Switch_DiffuseMap2,Switch_DiffuseMap2EdgeAlpha,Switch_DiffuseMapColor0,Switch_DiffuseMapColor1,Switch_DiffuseMapColor2,Switch_Dissolve,Switch_DitherDisable,Switch_DitherTransparent,Switch_DoubleSide,Switch_EdgeBias_Tex0_Alpha,Switch_EnvMap0,Switch_Face_Light_Adjust,Switch_Fake_Specular,Switch_GeometryMorph,Switch_Glow,Switch_GlowMap0,Switch_GlowMap0EdgeAlpha,Switch_GlowMap1,Switch_GlowMap1EdgeAlpha,Switch_GlowMap_FogInt,Switch_Grendel,Switch_HeightMapBlend,Switch_HighLight,Switch_InteriorMap,Switch_Lod,Switch_MaskMap0,Switch_MaskMap1,Switch_MaskMap2,Switch_Metal,Switch_Mirror,Switch_MultiPass_Src,Switch_MultiPass_Tgt,Switch_NearFade,Switch_NoLight,Switch_NormalMap0,Switch_NormalMap1,Switch_NormalMap2,Switch_Outline,Switch_ParallaxMap0,Switch_ParallaxMap1,Switch_ParallaxMap2,Switch_PlanarMap0,Switch_PlanarMap0_Rotate,Switch_PlanarMap1,Switch_PlanarMap1_Rotate,Switch_PlanarMap1_SingleSide,Switch_PlanarMap2,Switch_PlanarMap2_Rotate,Switch_PlanarMap2_SingleSide,Switch_PlantGrow,Switch_Pre_Transparent,Switch_RayMarch_Shadow,Switch_Refraction,Switch_RimAlpha,Switch_SSR,Switch_Scale_UV_Sync0,Switch_Scale_UV_Sync1,Switch_Scale_UV_Sync2,Switch_ShadowOnly,Switch_ShadowReceive,Switch_Shaking,Switch_ShakingVColor,Switch_ShardSearch,Switch_Specular_Mask_By_Color0_B,Switch_Specular_Pitch_Adjust,Switch_SphereMap,Switch_ToneMapping,Switch_ToonMap,Switch_ToonMask,Switch_TranslucentMap,Switch_VertexColor,Switch_VertexColor0,Switch_VertexColor1,Switch_WaterMulti,Switch_Water_Ripple,Switch_Water_Ripple_Source,Switch_ZPrePass,TEX1BLENDMODE,TEX2BLENDMODE,TEX4BLENDMODE,frozen,isShadowEnable_g,isSwatchRender_g,lightEnable_g,noOutputMrt_g,postTransparent_g
chr_cloth#07e57f9c9e9dc4af,,equ0144.mdl,1,,,,1,-1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,,,,,,,,1,,,,,,0,,,,,,1,0,,0,,,,,,,,0,0,,,,,0,0,,0,,,,,,,0,1,0,,0,,0,0,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,1,0,,0,,,,,,,0,0,,0,0,0,0,,
chr_cloth#092db73ecb36160f,equ0505.mdl,equ0505.mdl,1,,,,1,-1,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,,,,,,,,1,,,,,,0,,,,,,1,0,,0,,,,,,,,1,0,,,,,0,0,,0,,,,,,,,0,0,,1,,,,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,1,0,,0,,,,,,,0,0,,0,0,0,0,,
chr_cloth#0ce4a40fbc577d11,,orbment_slot_color1.mdl,1,,,,1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,-1,,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,1,0,,,,,1,0,,0,,,,,,,0,0,0,,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,1,1,,0,,,,,,,0,0,,0,0,0,0,,
chr_cloth#0e2ba7cedaab88d4,,equ0035.mdl,1,,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,0,0,,,,,1,0,,0,,,,,,,0,0,0,,0,,0,0,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,0,0,,0,,,,,,,0,0,,0,0,0,0,,
chr_cloth#132ef973b0e7c8ae,,equ0026.mdl,1,,,,1,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,-1,,,,,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,-1,,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,0,1,,,,,1,0,,0,,,,,,,0,1,0,,1,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,1,1,,0,,,,,,,0,0,,0,0,0,0,,
chr_cloth#13a1f016865fcfb0,,equ8104.mdl,1,,,,1,,,,,,,,,-1,,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,1,1,,,,,1,0,,0,,,,,,,0,0,0,,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1,0,,0,,,,,,,0,0,,0,0,0,0,,
chr_cloth#15ea4e1c907ff48f,chr5001_c03.mdl,chr5001_c03.mdl,1,,,,1,,,,,,,,,-1,-1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,,,,,,,,0,,,,,,0,,,,,,1,1,,0,,,,,,,0,1,,,,,,0,0,,0,,,0,,,,,1,0,,0,,,,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,1,,,0,,,,,,,0,0,,0,0,,0,,
chr_cloth#16689e86ce435c94,equ8023.mdl,equ8023.mdl,1,,,,0,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,0,0,,,,,1,1,,0,,,,,,,0,0,0,,0,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,1,0,,0,,,,,,,0,0,,0,0,0,0,,
chr_cloth#18d2884a77ce6582,equ0502.mdl,equ0502.mdl,1,,,,2,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,0,0,,,,,0,0,,0,,,,,,,,0,0,,0,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,1,0,,0,,,,,,,0,0,,0,0,0,0,,
chr_cloth#1a4bbde467cbe12c,ef_shp_y001.mdl,ef_shp_y001.mdl,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,0,,0,,,,,,,0,0,,,,,,0,0,,0,,,0,,,,,0,0,,0,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,,,0,,,,,,,0,0,,0,0,,0,,
chr_cloth#1a4de796d5b78b95,equ0202.mdl,equ0202.mdl,1,,,,1,,,,,,,,,-1,,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,-1,,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,1,1,,,,,1,0,,0,,,,,,,0,1,0,,0,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,1,1,,0,,,,,,,0,0,,0,0,0,0,,
chr_cloth#1c2e1be852ba23e3,,ef_obj_a356b.mdl,1,,,,2,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,0,1,,,,,0,0,,0,,,,,,,0,1,0,,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,1,0,,0,,,,,,,0,0,,0,0,0,0,,
chr_cloth#1d50650b6051f66c,chr0104.mdl,chr0104.mdl,1,,,,1,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,0,1,,,,,0,0,,0,,,,,,,0,0,0,,1,,,,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,1,0,,0,,,,,,,0,0,,0,0,0,0,,
chr_cloth#1e09b679e7a67316,,equ2034.mdl,1,,,,1,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,0,1,,,,,0,0,,0,,,,,,,0,0,0,,0,,0,0,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,1,0,,0,,,,,,,0,0,,0,0,0,0,,
chr_cloth#1f4f55b2bdc2d78b,ef_obj_a080.mdl,equ0310.mdl,1,,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,0,0,,,,,,0,0,,0,,,0,,,,,1,0,,1,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,1,,,0,,,,,,,0,0,,0,0,,0,,
chr_cloth#20d5bef377baae41,equ0509.mdl,equ0509.mdl,0,,,,1,,,,,,,,,-1,,,,,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,-1,,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,1,1,,,,,0,0,,0,,,,,,,0,0,0,,0,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,1,1,,0,,,,,,,0,0,,0,0,0,0,,
chr_cloth#222c0207827fefb8,chr5000_c50.mdl,chr5000_c50.mdl,1,,,,1,,,,,,,,,-1,,,,,,,,,-1,,,,,-1,,,,,,,,,,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,-1,,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,1,1,,,,,0,0,,0,,,,,,,0,1,0,,1,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,1,1,,0,,,,,,,0,0,,0,0,0,0,,
chr_cloth#223366b1cd88591d,ef_obj_a168.mdl,,1,,,,1,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,,,,,,,,0,,,,,,1,,,,,,1,0,,0,,,,,,,0,0,,,,,,1,0,,0,,,0,,,,,1,0,,0,,,,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,1,,,0,,,,,,,0,0,,0,0,,0,,
chr_cloth#228027a45ad9923f,,ef_obj_a393.mdl,1,,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,0,0,,,,,1,0,,0,,,,,,,0,0,0,,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,,0,,,,,,,0,0,,0,0,0,0,,
chr_cloth#22970bd277c040a7,ob_e04_003b.mdl,ob_e04_003b.mdl,1,,,,1,-1,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,1,0,,0,,,,,,,,1,0,,,,,0,0,,0,,,,,,,0,1,0,,0,,,,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,0,0,,0,,,,,,,0,0,,0,0,0,0,,
chr_cloth#2354d82d3aa1ddf2,chr0001_c51.mdl,chr0001_c51.mdl,1,,,,1,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,-1,,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,0,1,,,,,0,0,,0,,,,,,,0,0,0,,1,,,,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,1,1,,0,,,,,,,0,0,,0,0,0,0,,
