shader,YS_X,YS_Y,Light_Directional_use_implicit_lighting,SPECULARMODE,SWITCH_ALPHATEST,SWITCH_BACKLIGHTGRADATION,SWITCH_BILLBOARD,SWITCH_BILLBOARDY,SWITCH_CAUSTICS,SWITCH_DEFORMATION,SWITCH_DEPTHALPHA,SWITCH_DIFFUSEMAP0,SWITCH_DIFFUSEMAP1,SWITCH_DIFFUSEMAP2,SWITCH_DIFFUSEMAPCOLOR0,SWITCH_DIFFUSEMAPCOLOR1,SWITCH_DIFFUSEMAPCOLOR2,SWITCH_DISSOLVE,SWITCH_DITHERDISABLE,SWITCH_DITHERTRANSPARENT,SWITCH_DOUBLESIDE,SWITCH_DUDVENABLE0,SWITCH_DUDVENABLE1,SWITCH_DUDVENABLE2,SWITCH_DUDVMAP,SWITCH_FRESNELVERTEXNORMAL,SWITCH_GHOST,SWITCH_GLOW,SWITCH_HEIGHTMAP,SWITCH_HIGHLIGHT,SWITCH_HIGHLIGHTEDGE,SWITCH_MANACHAIN,SWITCH_MASKMAP0,SWITCH_MASKMAP1,SWITCH_MASKMAP2,SWITCH_METAL,SWITCH_MULTICOLOR,SWITCH_NOLIGHT,SWITCH_NORMALMAP0,SWITCH_NORMALMAP1,SWITCH_NORMALMAP2,SWITCH_NOSESIDELIGHT,SWITCH_OUTLINE,SWITCH_POINTLIGHTNORMALDISABLE,SWITCH_RANDOMBLEND,SWITCH_REFRACTION,SWITCH_RIMALPHA,SWITCH_SHADOWONLY,SWITCH_SHADOWRECEIVE,SWITCH_SHAKING,SWITCH_SHAKINGVCOLOR,SWITCH_SPHEREMAP,SWITCH_TOONMAP,SWITCH_VERTEXCOLOR,SWITCH_VERTEXCOLOR0,SWITCH_VERTEXCOLOR1,Switch_AlphaTest,Switch_BacklightGradation,Switch_Billboard,Switch_BillboardY,Switch_Caustics,Switch_DUDVEnable0,Switch_DUDVEnable1,Switch_DUDVEnable2,Switch_DUDVMap,Switch_Deformation,Switch_DepthAlpha,Switch_DiffuseMap0,Switch_DiffuseMap1,Switch_DiffuseMap2,Switch_DiffuseMapColor0,Switch_DiffuseMapColor1,Switch_DiffuseMapColor2,Switch_Dissolve,Switch_DitherDisable,Switch_DitherTransparent,Switch_DoubleSide,Switch_FresnelVertexNormal,Switch_Ghost,Switch_Glow,Switch_HeightMap,Switch_HighLight,Switch_HighLightEdge,Switch_ManaChain,Switch_MaskMap0,Switch_MaskMap1,Switch_MaskMap2,Switch_Metal,Switch_MultiColor,Switch_NoLight,Switch_NormalMap0,Switch_NormalMap1,Switch_NormalMap2,Switch_NoseSideLight,Switch_Outline,Switch_PointLightNormalDisable,Switch_RandomBlend,Switch_Refraction,Switch_RimAlpha,Switch_ShadowOnly,Switch_ShadowReceive,Switch_Shaking,Switch_ShakingVColor,Switch_SphereMap,Switch_ToonMap,Switch_VertexColor,Switch_VertexColor0,Switch_VertexColor1,TEX1BLENDMODE,TEX2BLENDMODE,frozen,isShadowEnable_g,lightEnable_g,noseSideLightTest_g,swatchRender_g
chara_cloth#09259009fedb58fe,c7500.mdl,,0,1,,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,-1,,,,,,-1,,,,,-1,,,,,-1,,,,-1,,,,0,1,,,,,,,,,,1,0,0,,,,0,,0,0,,0,0,,,1,,1,0,,0,,,1,0,,,0,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#0d00eacfc780f496,c0200.mdl,,1,1,-1,-1,,,,,,-1,,,,,,,,,-1,,,,,,,,,,-1,,-1,,,,,,-1,,,,-1,-1,,,-1,,-1,,,,-1,,,,1,1,,,,,,,,,,1,0,0,,,,0,,0,1,,0,0,,,1,,1,0,,0,,,1,0,,,1,1,0,,1,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#0d283384be5c0adf,ef_obj_j005.mdl,,1,1,,,,,,,,-1,-1,,,,,-1,,,,,,,,,,,,,,,-1,,,-1,,,-1,,,,,,,,,,,,,,-1,,,,0,0,,,,,,,,,,1,1,0,,,,1,,0,0,,0,0,,,0,,1,0,,1,,,1,0,,,0,0,0,,0,0,0,,,,1,,0,0,1,0,0,0,0,,0
chara_cloth#0d7a03e38ddc0b53,o_s00gim02.mdl,,1,1,,,,,,,,-1,,,,,,-1,,,,,,,,,,-1,,,-1,,,,,,,,,,,,,,,,-1,,,,,,,,,-1,0,0,,,,,,,,,,1,0,0,,,,1,,0,0,,0,1,,,1,,0,0,,0,,,0,0,,,0,0,0,,1,0,0,,,,0,,0,1,0,0,0,0,0,,0
chara_cloth#0ed1c0b838fbcd61,c2030.mdl,,1,1,-1,,,,,,,-1,,,,,,,,,-1,,,,,,-1,-1,,,,,-1,,,,,,-1,,,,-1,-1,,,,,-1,,,,-1,,,,1,0,,,,,,,,,,1,0,0,,,,0,,0,1,,1,1,,,0,,1,0,,0,,,1,0,,,1,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#0ef02e609e0689ee,b0200.mdl,,1,1,-1,,,,,,,-1,,,,,,-1,,,-1,,,,,,,,,,-1,,-1,,,,,,-1,,,,-1,-1,,,,,-1,,,,-1,,,,1,0,,,,,,,,,,1,0,0,,,,1,,0,1,,0,0,,,1,,1,0,,0,,,1,0,,,1,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#0f4e3f54ee2f6d0b,b1041.mdl,,1,1,,,,,,,,-1,,,,,,-1,,,,,,,,,,-1,,,-1,,-1,,,,,,-1,,,,,-1,,,,,-1,,,,-1,,,,0,0,,,,,,,,,,1,0,0,,,,1,,0,0,,0,1,,,1,,1,0,,0,,,1,0,,,0,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#0fdb2f76f1ef8dbc,c1520.mdl,,1,0,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,-1,,,,,,-1,,,,-1,-1,,,,,-1,,,,-1,,,,1,0,,,,,,,,,,1,0,0,,,,0,,0,0,,0,0,,,1,,1,0,,0,,,1,0,,,1,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#105d31b4ca6accc2,c0010.mdl,,1,1,,,,,,,,-1,,,,,,-1,,,,,,,,,,,,,-1,,-1,,,,,,-1,,,,-1,-1,,,,,-1,,,,-1,,,,0,0,,,,,,,,,,1,0,0,,,,1,,0,0,,0,0,,,1,,1,0,,0,,,1,0,,,1,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#1100e74db7df6ca2,c1020.mdl,,1,1,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,-1,,-1,,,,,,-1,,,,-1,-1,,,,,-1,,,,-1,,,,0,0,,,,,,,,,,1,0,0,,,,0,,0,1,,0,0,,,1,,1,0,,0,,,1,0,,,1,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#1176989a1274ae95,b0080.mdl,,1,1,-1,,,,,,,-1,,,,,,-1,,,-1,,,,,,,,,,-1,,-1,,,,,,-1,,,,,-1,,,,,-1,,,,-1,,,,1,0,,,,,,,,,,1,0,0,,,,1,,0,1,,0,0,,,1,,1,0,,0,,,1,0,,,0,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#144b7a0126fd8275,ef_obj_a252.mdl,,1,0,,,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,,,,,,,,,,,,,-1,,,-1,0,0,,,,,,,,,,1,0,0,,,,0,,0,0,,,0,,,1,,0,0,,0,,,1,0,,,0,0,0,,0,0,0,,,,1,,0,1,0,0,0,0,0,,0
chara_cloth#14df48ef8891982c,b0000.mdl,,1,1,-1,-1,,,,,,-1,,,,,,-1,,,,,,,,,,,,,-1,,-1,,,,,,-1,,,,,-1,,,,,-1,,,,-1,,,,1,1,,,,,,,,,,1,0,0,,,,1,,0,0,,0,0,,,1,,1,0,,0,,,1,0,,,0,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#17ae0c9276d79641,c0000.mdl,,1,1,,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,-1,,,,,,-1,,,,-1,-1,,,,,-1,,,,-1,,,,0,1,,,,,,,,,,1,0,0,,,,0,,0,0,,0,0,,,1,,1,0,,0,,,1,0,,,1,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#1a8966f8525a77f1,equ9991.mdl,,1,1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,-1,,,-1,,,-1,,,,,,,,,,-1,,,,-1,,,,0,0,,,,,,,,,,1,0,0,,,,0,,0,0,,0,0,,,1,,1,0,,1,,,1,0,,,0,0,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#1af845160b0ba3ec,equ2021.mdl,,1,1,-1,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,-1,,-1,,,,,,-1,,,,,-1,,,,,-1,,,,-1,,,,1,0,,,,,,,,,,1,0,0,,,,0,,0,1,,0,0,,,1,,1,0,,0,,,1,0,,,0,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#1c8bb3eefc3054bd,ef_obj_b002.mdl,,1,1,,,,,,,,-1,-1,,,,,-1,,,,,,,,,,,,,-1,,-1,-1,,,,,-1,-1,,,,,,,,,-1,,,,-1,,,,0,0,,,,,,,,,,1,1,0,,,,1,,0,0,,0,0,,,1,,1,1,,0,,,1,1,,,0,0,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#1da3eddb44a0a764,equ2300.mdl,,1,1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,,,-1,-1,,,,,-1,,,,-1,,,,0,0,,,,,,,,,,1,0,0,,,,0,,0,0,,0,0,,,1,,0,0,,0,,,1,0,,,1,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#1e4edfdb4ce0fd6e,equ0000.mdl,,1,0,,,,,,,,-1,,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,1,0,0,,,,1,,0,1,,,0,,,0,,0,0,,0,,,0,0,,,0,0,0,,0,0,0,,,,0,,0,0,0,0,0,0,0,,0
chara_cloth#1f2d6fd6d8e74f7a,c0212.mdl,,1,1,-1,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,-1,,,,,,-1,,,,-1,-1,,,,,-1,,,,-1,,,,1,1,,,,,,,,,,1,0,0,,,,0,,0,0,,0,0,,,1,,1,0,,0,,,1,0,,,1,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#2054673e33b2e3f7,b0000.mdl,,1,0,,,,,,,,-1,-1,,,,,-1,,,,,,,,,,-1,,,,,,,,,,,,,,,,-1,,,,,-1,,,,,,,,0,0,,,,,,,,,,1,1,0,,,,1,,0,0,,0,1,,,0,,0,0,,0,,,0,0,,,0,1,0,,0,0,1,,,,0,,0,0,1,0,0,0,0,,0
chara_cloth#21080abb507e236f,b0210.mdl,,1,1,-1,-1,,,,,,-1,,,,,,,,,-1,,,,,,,,,,-1,,-1,,,,,,-1,,,,-1,-1,,,,,-1,,,,-1,,,,1,1,,,,,,,,,,1,0,0,,,,0,,0,1,,0,0,,,1,,1,0,,0,,,1,0,,,1,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#210f2fd3762bd899,equ6000.mdl,,1,1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,-1,,,-1,,,-1,,,,,-1,,,,,-1,,,,-1,,,,0,0,,,,,,,,,,1,0,0,,,,0,,0,0,,0,0,,,0,,1,0,,1,,,1,0,,,0,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#2365002a841583f0,c0101.mdl,,1,0,,,,,,,,-1,,,,,,-1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,-1,,,,-1,,,-1,0,0,,,,,,,,,,1,0,0,,,,1,,0,0,,0,1,,,0,,0,0,,0,,,0,0,,,0,0,0,,0,0,1,,,,1,,0,1,0,0,0,0,0,,0
chara_cloth#23735b5609780a9a,c1520.mdl,,1,0,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,-1,,-1,,,,,,-1,,,,-1,-1,,,,,-1,,,,-1,,,,0,0,,,,,,,,,,1,0,0,,,,0,,0,1,,0,0,,,1,,1,0,,0,,,1,0,,,1,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#239d4db8b981218f,ef_obj_a254.mdl,,1,1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,,,,-1,,,,,,,,-1,,,,,,,,,-1,,,,0,0,,,,,,,,,,1,0,0,,,,0,,0,0,,0,0,,,1,,0,0,,1,,,0,0,,,0,1,0,,0,0,0,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#246d8806624f2305,b0070.mdl,,1,1,-1,,,,,,,-1,,,,,,-1,,-1,-1,,,,,,,-1,,,,,,,,,,,-1,,,,,-1,,,,,,,,,-1,,,,1,0,,,,,,,,,,1,0,0,,,,1,,1,1,,0,1,,,0,,0,0,,0,,,1,0,,,0,1,0,,0,0,0,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#25364d66dd533287,o_s00gim02.mdl,,1,1,,,,,,,,-1,,,,,,-1,,,,,,,,,,,,,-1,,-1,,,-1,,,-1,,,,,,,,,,-1,,,,-1,,,,0,0,,,,,,,,,,1,0,0,,,,1,,0,0,,0,0,,,1,,1,0,,1,,,1,0,,,0,0,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#2aeadfc76fa8b700,c0112.mdl,,1,1,-1,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,-1,,,-1,,,-1,,,,-1,-1,,,,,-1,,,,-1,,,,1,1,,,,,,,,,,1,0,0,,,,0,,0,0,,0,0,,,1,,1,0,,1,,,1,0,,,1,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#2c235995a53a9f94,c7840.mdl,,1,1,-1,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,-1,,,,,,-1,,,,-1,-1,,,,,,,,,-1,,,,1,1,,,,,,,,,,1,0,0,,,,0,,0,0,,0,0,,,1,,1,0,,0,,,1,0,,,1,1,0,,0,0,0,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#2cafbf74aabefc9c,c0102.mdl,,1,1,,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,,,,-1,,,-1,,,,,-1,,,,,-1,,,,-1,,,,0,1,,,,,,,,,,1,0,0,,,,0,,0,0,,0,0,,,1,,0,0,,1,,,1,0,,,0,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#2d837870187a18e6,equ0100.mdl,,1,1,,,,,,,,-1,,,,,,-1,,,-1,,,,,,,,,,-1,,-1,,,-1,,,-1,,,,-1,-1,,,,,-1,,,,-1,,,,0,0,,,,,,,,,,1,0,0,,,,1,,0,1,,0,0,,,1,,1,0,,1,,,1,0,,,1,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#2db5ae986fbe9683,b0200.mdl,,1,1,-1,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,-1,,-1,,,,,,-1,,,,-1,-1,,,,,-1,,,,-1,,,,1,0,,,,,,,,,,1,0,0,,,,0,,0,1,,0,0,,,1,,1,0,,0,,,1,0,,,1,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#2dcd2161a42d1626,c1220.mdl,,1,1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,-1,,,,0,0,,,,,,,,,,1,0,0,,,,0,,0,0,,0,0,,,1,,0,0,,0,,,0,0,,,0,0,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#2f4b554952c30da4,c9000.mdl,,1,0,,,,,,,,-1,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,0,0,,,,,,,,,,1,0,0,,,,0,,0,0,,,1,,,0,,0,0,,0,,,0,0,,,0,0,0,,0,0,0,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#302496997acbb24b,ef_obj_e000.mdl,,1,1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,1,0,0,,,,0,,0,0,,0,0,,,0,,0,0,,0,,,0,0,,,0,0,0,,0,0,0,,,,0,,0,0,0,0,0,0,0,,0
chara_cloth#36ab43287a21b6ba,b0030.mdl,,1,1,-1,,,,,,,-1,,,,,,-1,,,-1,,,,,,,-1,,,,,,,,,,,-1,,,,,-1,,,,,-1,,,,-1,,,,1,0,,,,,,,,,,1,0,0,,,,1,,0,1,,0,1,,,0,,0,0,,0,,,1,0,,,0,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#370eba1f0511d5dc,c0001.mdl,,1,1,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,1,0,0,,,,0,,0,1,,0,0,,,0,,0,0,,0,,,0,0,,,0,0,0,,0,0,0,,,,0,,0,0,0,0,0,0,0,,0
chara_cloth#38686cf48d3c6c27,b0070.mdl,,1,1,,,,,,,,-1,,,,,,-1,,-1,,,,,,,,,,,-1,,-1,,,-1,,,-1,,,,,-1,,,,,-1,,,,-1,,,,0,0,,,,,,,,,,1,0,0,,,,1,,1,0,,0,0,,,1,,1,0,,1,,,1,0,,,0,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#3d68503eb1d02bbb,c7830.mdl,,1,1,,-1,,,,,,-1,,,,,,-1,,,,,,,,,,-1,,,,,,,,,,,-1,,,,,-1,,,,,-1,,,,-1,,,,0,1,,,,,,,,,,1,0,0,,,,1,,0,0,,0,1,,,0,,0,0,,0,,,1,0,,,0,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#3f427d2b03698766,equ2300.mdl,,1,1,-1,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,-1,,,,,,,,-1,,,,-1,-1,,,,,-1,,,,-1,,,,1,0,,,,,,,,,,1,0,0,,,,0,,0,1,,0,0,,,1,,0,0,,0,,,1,0,,,1,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#3fee6141b6c9febd,c0101.mdl,,1,1,,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,-1,,,,,-1,,,,-1,,,,0,1,,,,,,,,,,1,0,0,,,,0,,0,0,,0,0,,,0,,1,0,,0,,,0,0,,,0,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#409fb17120d21204,m33210.mdl,,1,0,,,,,,,,-1,,,,,,-1,,,-1,,,,,,,,,,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,-1,,,,0,0,,,,,,,,,,1,0,0,,,,1,,0,1,,0,0,,,1,,0,0,,0,,,1,0,,,0,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#42845b202f6d7cde,c7000.mdl,,1,1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,-1,,,-1,,,-1,,,,,-1,,,,,-1,,,,-1,,,,0,0,,,,,,,,,,1,0,0,,,,0,,0,0,,0,0,,,1,,1,0,,1,,,1,0,,,0,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#44178f78bf62d238,b0070.mdl,,1,1,-1,,,,,,,-1,,,,,,-1,,-1,,,,,,,,-1,,,-1,,-1,,,,,,-1,,,,,-1,,,,,-1,,,,-1,,,,1,0,,,,,,,,,,1,0,0,,,,1,,1,0,,0,1,,,1,,1,0,,0,,,1,0,,,0,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#4480a8845944fb2d,equ3000.mdl,,1,1,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,,,,,,,0,0,0,,,,1,,0,0,,0,0,,,0,,0,0,,0,,,0,0,,,0,0,0,,0,1,0,,,,0,,0,0,0,0,0,0,0,,0
chara_cloth#48a097a666b14704,m20600.mdl,,1,1,-1,,,,,,,-1,,,,,,-1,,,-1,,,,,,,-1,,,,,,,,,,,-1,,,,,-1,,,,,,,,,-1,,,,1,0,,,,,,,,,,1,0,0,,,,1,,0,1,,0,1,,,0,,0,0,,0,,,1,0,,,0,1,0,,0,0,0,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#4925ac06a74317dd,equ6900.mdl,,1,0,-1,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,-1,,,,,,,,-1,,,,,-1,,,,-1,,,,1,0,,,,,,,,,,1,0,0,,,,0,,0,1,,0,0,,,0,,0,0,,1,,,0,0,,,0,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
