shader,KAI,KURO1,KURO2,Light_Directional_use_implicit_lighting,PLANARMAP0AXIS,PLANARMAP1AXIS,PLANARMAP2AXIS,SPECULARMODE,SWITCH_ALPHATEST,SWITCH_ATMOSPHERE,SWITCH_BILLBOARD,SWITCH_BILLBOARDY,SWITCH_BILLBOARDY_PAT,SWITCH_BILLBOARDY_PAT_S,SWITCH_CHARA,SWITCH_CRYSTAL,SWITCH_DEPTHALPHA,SWITCH_DIFFUSEMAP0,SWITCH_DIFFUSEMAP1,SWITCH_DIFFUSEMAP1EDGEALPHA,SWITCH_DIFFUSEMAP2,SWITCH_DIFFUSEMAP2EDGEALPHA,SWITCH_DIFFUSEMAPCOLOR0,SWITCH_DIFFUSEMAPCOLOR1,SWITCH_DIFFUSEMAPCOLOR2,SWITCH_DISALLOW_NEARFADE_DISABLE,SWITCH_DITHERDISABLE,SWITCH_DITHERTRANSPARENT,SWITCH_DOUBLESIDE,SWITCH_DUDVENABLE0,SWITCH_DUDVENABLE1,SWITCH_DUDVENABLE2,SWITCH_DUDVMAP,SWITCH_DUDV_IGNORE_SCROLL,SWITCH_ENVMAP0,SWITCH_GEOMETRYMORPH,SWITCH_GLOW,SWITCH_GLOWMAP0,SWITCH_GLOWMAP0EDGEALPHA,SWITCH_GLOWMAP1,SWITCH_GLOWMAP1EDGEALPHA,SWITCH_GLOWMAP_FOGINT,SWITCH_GRENDEL,SWITCH_HIGHLIGHT,SWITCH_INTERIORMAP,SWITCH_MAPCOLOR,SWITCH_MASKMAP0,SWITCH_MASKMAP1,SWITCH_MASKMAP2,SWITCH_METAL,SWITCH_MIRROR,SWITCH_NEARFADE,SWITCH_NOLIGHT,SWITCH_NORMALMAP0,SWITCH_NORMALMAP1,SWITCH_NORMALMAP2,SWITCH_NO_ATMOSPHERE,SWITCH_NO_CORROSION_DECAL,SWITCH_PARALLAXMAP0,SWITCH_PARALLAXMAP1,SWITCH_PARALLAXMAP2,SWITCH_PLANARMAP0,SWITCH_PLANARMAP1,SWITCH_PLANARMAP1_SINGLESIDE,SWITCH_PLANARMAP2,SWITCH_PLANARMAP2_ROTATE,SWITCH_PLANARMAP2_SINGLESIDE,SWITCH_PROJECTIONMAP1,SWITCH_REFRACTION,SWITCH_RIMALPHA,SWITCH_SHADOWONLY,SWITCH_SHADOWRECEIVE,SWITCH_SHAKING,SWITCH_SHAKINGVCOLOR,SWITCH_SHARDSEARCH,SWITCH_SPHEREMAP,SWITCH_SSR,SWITCH_TONEMAPPING,SWITCH_TOONMAP,SWITCH_TRANSLUCENTMAP,SWITCH_VERTEXCOLOR,SWITCH_VERTEXCOLOR0,SWITCH_VERTEXCOLOR1,SWITCH_WATERMULTI,SWITCH_WAVEDISTANCECORRECT,SWITCH_WAVEDISTANCECORRECT2,Switch_AlphaTest,Switch_Atmosphere,Switch_Billboard,Switch_BillboardY,Switch_BillboardY_Pat,Switch_BillboardY_Pat_S,Switch_Chara,Switch_Crystal,Switch_DUDVEnable0,Switch_DUDVEnable1,Switch_DUDVEnable2,Switch_DUDVMap,Switch_DUDV_Ignore_Scroll,Switch_DepthAlpha,Switch_DiffuseMap0,Switch_DiffuseMap1,Switch_DiffuseMap1EdgeAlpha,Switch_DiffuseMap2,Switch_DiffuseMap2EdgeAlpha,Switch_DiffuseMap3,Switch_DiffuseMapColor0,Switch_DiffuseMapColor1,Switch_DiffuseMapColor2,Switch_Disallow_NearFade_Disable,Switch_DitherDisable,Switch_DitherTransparent,Switch_DoubleSide,Switch_EnvMap0,Switch_GeometryMorph,Switch_Glow,Switch_GlowMap0,Switch_GlowMap0EdgeAlpha,Switch_GlowMap1,Switch_GlowMap1EdgeAlpha,Switch_GlowMap_FogInt,Switch_Grendel,Switch_HeightMapBlend,Switch_HighLight,Switch_InteriorMap,Switch_MapColor,Switch_MaskMap0,Switch_MaskMap1,Switch_MaskMap2,Switch_Metal,Switch_Mirror,Switch_NearFade,Switch_NoLight,Switch_No_Atmosphere,Switch_No_Corrosion_Decal,Switch_NormalMap0,Switch_NormalMap1,Switch_NormalMap2,Switch_NormalMap3,Switch_ParallaxMap0,Switch_ParallaxMap1,Switch_ParallaxMap2,Switch_PlanarMap0,Switch_PlanarMap0_Rotate,Switch_PlanarMap1,Switch_PlanarMap1_Rotate,Switch_PlanarMap1_SingleSide,Switch_PlanarMap2,Switch_PlanarMap2_Rotate,Switch_PlanarMap2_SingleSide,Switch_ProjectionMap0,Switch_ProjectionMap1,Switch_Refraction,Switch_RimAlpha,Switch_SSR,Switch_ShadowOnly,Switch_ShadowReceive,Switch_Shaking,Switch_ShakingVColor,Switch_ShardSearch,Switch_SphereMap,Switch_ToneMapping,Switch_ToonMap,Switch_TranslucentMap,Switch_VertexColor,Switch_VertexColor0,Switch_VertexColor1,Switch_WaterMulti,Switch_WaveDistanceCorrect,Switch_WaveDistanceCorrect2,Switch_ZPrePass,TEX1BLENDMODE,TEX2BLENDMODE,TEX3BLENDMODE,TEX4BLENDMODE,frozen,isShadowEnable_g,lightEnable_g,postTransparent_g
chr_cloth#0daeabc7071f6d1f,ef_obj_a233.mdl,,,1,,,,0,,,,,,,,,,-1,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,0,,,,,,,0,,,,,,,1,0,,0,,,,,,,,0,1,,,0,0,,0,,,0,,,,,0,0,,0,,0,0,,,1,0,,,,,,,,,,,,,,0,0,,,,0,1,,,,,,1,,0,,,,,,,0,0,,,0,0,0,
chr_cloth#10528a90c36b1a76,chr0318_c00.mdl,chr0318_c00.mdl,chr0318_c00.mdl,1,,,,1,,,,,,,,,,-1,-1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,-1,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,0,,,,,,,0,,,,,,,1,1,,0,,,,,,,,0,1,,,0,0,,0,,,0,,,,,1,0,,1,,,,,,1,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,0,,,,,,,0,0,,,0,0,0,
chr_cloth#14b72cd6662f2d80,equ8064.mdl,,equ8064.mdl,1,,,,1,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,0,,,,,,,0,,,,,,,1,1,,0,,,,,,,,0,0,,,0,0,,0,,,0,,,,,1,1,,0,,0,,,,1,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,0,,,,,,,2,0,,,0,0,0,
chr_cloth#15ea4e1c907ff48f,c06kmo01.mdl,chr0004_c58.mdl,chr0004_c58.mdl,1,,,,1,,,,,,,,,,-1,-1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,-1,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,0,,,,,,,0,,,,,,,1,1,,0,,,,,,,,0,1,,,0,0,,0,,,0,,,,,1,0,,0,,,,,,1,1,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,0,,,,,,,0,0,,,0,0,0,
chr_cloth#163a800cc94a7d07,mg_jg_cube02.mdl,,mg_jg_cube02.mdl,1,,,,1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,0,,,,,,,0,,,,,,,1,0,,0,,,,,,,,0,0,,,1,0,,0,,,0,,,,,1,0,,1,,0,,,,0,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,0,,,,,,,0,0,,,0,0,0,
chr_cloth#1a4bbde467cbe12c,,ef_shp_y001.mdl,ef_shp_y001.mdl,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,0,0,,0,,,,,,,,0,0,,,0,0,,0,,,0,,,,,0,0,,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,0,,,,,,,0,0,,,0,0,0,
chr_cloth#1a5cf3012ddd0559,chr5001_c61.mdl,,chr5001_c61.mdl,1,,,,1,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,,-1,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,0,,,,,,,0,,,,,,,1,1,,0,,,,,,,,0,0,,,0,0,,0,,,0,,,,,1,1,,1,,0,,,,1,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,0,,,,,,,0,0,,,0,0,0,
chr_cloth#1e341febc77aaef6,chr5110_c12.mdl,equ0225.mdl,chr5110_c12.mdl,1,,,,1,-1,,,,,,,,,-1,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,1,,,,,,,0,,,,,,,1,0,,0,,,,,,,,0,1,,,0,0,,0,,,0,,,,,0,0,,0,,,,,,1,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,0,,,,,,,0,0,,,0,0,0,
chr_cloth#1f4f55b2bdc2d78b,chr5114_c01.mdl,ef_obj_a080.mdl,chr5114_c01.mdl,1,,,,1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,0,,,,,,,0,,,,,,,1,0,,0,,,,,,,,0,0,,,0,0,,0,,,0,,,,,1,0,,1,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,0,,,,,,,0,0,,,0,0,0,
chr_cloth#203eff74df0cf244,equ8057_a_l.mdl,,equ8057_a_l.mdl,1,,,,1,,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,0,,,,,,,1,,,,,,,1,0,,0,,,,,,,,0,0,,,0,0,,0,,,0,,,,,0,0,,1,,0,,,,1,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,0,,,,,,,0,0,,,0,0,0,
chr_cloth#217d4083d6df66f9,mon0304.mdl,,,1,,,,1,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,1,0,,0,,,,,,,,0,0,,,0,0,,0,,,0,,,,,0,0,,0,,0,0,,,1,0,,,,,,,,,,,,,,0,0,,,,0,1,,,,,,0,,0,,,,,,,0,0,,,0,0,0,
chr_cloth#223366b1cd88591d,chr0004.mdl,chr0004.mdl,chr0004.mdl,1,,,,1,,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,0,,,,,,,1,,,,,,,1,0,,0,,,,,,,,0,0,,,1,0,,0,,,0,,,,,1,0,,0,,,,,,1,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,0,,,,,,,0,0,,,0,0,0,
chr_cloth#22fc28c2ac1cd75b,equ0025.mdl,equ0025.mdl,equ0025.mdl,1,,,,1,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,1,,,,,,,0,,,,,,,1,0,,0,,,,,,,,0,0,,,0,0,,0,,,0,,,,,1,0,,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,0,,,,,,,0,0,,,0,0,0,
chr_cloth#2575292eaaa9bff3,chr0000_c10.mdl,ef_obj_a034.mdl,chr0000_c10.mdl,1,,,,1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,0,,,,,,,0,,,,,,,1,0,,0,,,,,,,,0,0,,,0,0,,0,,,0,,,,,0,0,,0,,,,,,1,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,0,,,,,,,0,0,,,0,0,0,
chr_cloth#276e283ca6dbf4c7,rob0012.mdl,,,1,,,,1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,0,,,,,,,0,,,,,,,1,0,,0,,,,,,,,0,0,,,0,0,,0,,,0,,,,,0,0,,0,,1,0,,,0,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,0,,,,,,,0,0,,,0,0,0,
chr_cloth#280cd59fb9ae1775,chr0307_c99.mdl,,,1,,,,1,,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,0,,,,,,,1,,,,,,,1,0,,0,,,,,,,,0,0,,,0,0,,0,,,0,,,,,0,0,,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,0,,,,,,,0,0,,,0,0,0,
chr_cloth#286b4f4510116fe8,chr5007_c03.mdl,chr5007_c03.mdl,chr5007_c03.mdl,1,,,,1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,0,,,,,,,0,,,,,,,1,0,,0,,,,,,,,0,0,,,0,0,,0,,,0,,,,,1,0,,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,0,,,,,,,0,0,,,0,0,0,
chr_cloth#2916c5b3795263be,chr0011.mdl,chr5007_c08.mdl,chr5007_c08.mdl,1,,,,1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,0,,,,,,,0,,,,,,,1,0,,0,,,,,,,,0,0,,,0,0,,0,,,1,,,,,1,0,,0,,,,,,1,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,0,,,,,,,0,0,,,0,0,0,
