shader,000_KX,Light_Directional_use_implicit_lighting,SPECULARMODE,SWITCH_ALPHATEST,SWITCH_BILLBOARD,SWITCH_BILLBOARDY,SWITCH_BILLBOARDY_PAT_S,SWITCH_CRYSTAL,SWITCH_DEPTHALPHA,SWITCH_DIFFUSEMAP0,SWITCH_DIFFUSEMAP1,SWITCH_DIFFUSEMAP2,SWITCH_DIFFUSEMAPCOLOR0,SWITCH_DIFFUSEMAPCOLOR1,SWITCH_DIFFUSEMAPCOLOR2,SWITCH_DITHERDISABLE,SWITCH_DOUBLESIDE,SWITCH_DUDVENABLE0,SWITCH_DUDVENABLE1,SWITCH_DUDVENABLE2,SWITCH_DUDVMAP,SWITCH_DUDVMAP0,SWITCH_EDGEBIAS_TEX0_ALPHA,SWITCH_GLOW,SWITCH_GLOWMAP0,SWITCH_HIGHLIGHT,SWITCH_MASKMAP0,SWITCH_MASKMAP1,SWITCH_MASKMAP2,SWITCH_METAL,SWITCH_MIRROR,SWITCH_NOLIGHT,SWITCH_NOMAPCOLOR,SWITCH_NORMALMAP0,SWITCH_NORMALMAP1,SWITCH_NORMALMAP2,SWITCH_REFLECTION,SWITCH_REFRACTION,SWITCH_RIMALPHA,SWITCH_SHADOWONLY,SWITCH_SHADOWRECEIVE,SWITCH_SHAKING,SWITCH_SHAKINGVCOLOR,SWITCH_SHARDSEARCH,SWITCH_SILHOUETTE,SWITCH_SPHEREMAP,SWITCH_TOONMAP,SWITCH_TOONMASK,SWITCH_USECALC,SWITCH_VERTEXCOLOR,SWITCH_VERTEXCOLOR0,SWITCH_VERTEXCOLOR1,SWITCH_WAVEVERTEX,SWITCH_ZPREPASS,Switch_AlphaTest,Switch_Billboard,Switch_BillboardY,Switch_BillboardY_Pat,Switch_BillboardY_Pat_S,Switch_Crystal,Switch_DUDVEnable0,Switch_DUDVEnable1,Switch_DUDVEnable2,Switch_DUDVMap,Switch_DepthAlpha,Switch_DiffuseMap0,Switch_DiffuseMap1,Switch_DiffuseMap2,Switch_DiffuseMapColor0,Switch_DiffuseMapColor1,Switch_DiffuseMapColor2,Switch_DitherDisable,Switch_DoubleSide,Switch_DudvMap0,Switch_EdgeBias_Tex0_Alpha,Switch_Glow,Switch_GlowMap0,Switch_GlowMap1,Switch_HighLight,Switch_MaskMap0,Switch_MaskMap1,Switch_MaskMap2,Switch_Metal,Switch_Mirror,Switch_NoLight,Switch_NoMapColor,Switch_NormalMap0,Switch_NormalMap1,Switch_NormalMap2,Switch_Reflection,Switch_Refraction,Switch_RimAlpha,Switch_ShadowOnly,Switch_ShadowReceive,Switch_Shaking,Switch_ShakingVColor,Switch_ShardSearch,Switch_Silhouette,Switch_SphereMap,Switch_ToonMap,Switch_ToonMask,Switch_UseCalc,Switch_VertexColor,Switch_VertexColor0,Switch_VertexColor1,Switch_WaveVertex,Switch_ZPrePass,TEX1BLENDMODE,TEX2BLENDMODE,TEX4BLENDMODE,frozen,isShadowEnable_g,isSwatchRender_g,lightEnable_g,postTransparent_g
chr_cloth#1629a86d46a3dbe1,chr0535.mdl,1,1,,,,,,,-1,-1,-1,,,,,,,-1,-1,-1,,-1,,,,-1,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,1,1,1,,1,1,1,,,,,0,,1,0,0,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,2,1,,0,0,0,0,
chr_cloth#18e8270a26346e0c,chr5303.mdl,1,1,,,,,,,-1,,,,,,,,,-1,,,,-1,-1,-1,,-1,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,1,0,0,,1,0,0,,,,,0,,1,1,1,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,1,0,,0,0,0,0,
chr_cloth#1d1eb6f3f49e3124,chr0100.mdl,1,1,,,,,,,-1,,,,,,,,,,,,,-1,,,,-1,,,,,,,,,,,,,,-1,,,,,,-1,,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,0,,1,0,0,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#1daf1efe9862e6a0,chr9998.mdl,1,0,,,,,,,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,0,,,,,0,0,0,0,0,,1,1,1,,,,,0,,0,0,0,0,,0,0,,0,,,,0,,,,,,0,1,,,,0,,0,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#1e0aeebe85dda92b,equ8020.mdl,1,1,,,,,,,-1,,,,,,,,,,,,,-1,,,,-1,,,-1,,,,,,,,,,,-1,,,,,,-1,,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,0,,1,0,0,0,,1,0,,1,,,,0,,,,,,0,1,,,,0,,1,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#1f4f55b2bdc2d78b,equ8000_c02.mdl,1,1,,,,,,,-1,,,,,,,,,,,,,,,,,-1,,,-1,,,,,,,,,,,-1,,,,,,-1,,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,0,,0,0,0,0,,1,0,,1,,,,0,,,,,,0,1,,,,0,,1,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#1fa1c2345f51e2f4,chr0100_c01.mdl,1,1,,,,,,,-1,-1,-1,,,,,,,-1,-1,-1,,-1,,,,-1,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,1,1,1,,1,1,1,,,,,0,,1,0,0,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,1,1,,0,0,0,0,
chr_cloth#20d5bef377baae41,equ8020_c01.mdl,1,1,,,,,,,-1,,,,,,,-1,,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,1,,1,0,0,0,,0,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,0,0,,0,0,0,0,
chr_cloth#222c0207827fefb8,equ0324.mdl,1,1,,,,,,,-1,,,,,,,-1,,,,,,-1,,,,-1,,,-1,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,1,,1,0,0,0,,1,0,,1,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,0,0,,0,0,0,0,
chr_cloth#2432f1c7012093fb,chr0915.mdl,1,1,,,,,,,-1,-1,,,,,,,,,,,,-1,,,,-1,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,0,0,0,,1,1,0,,,,,0,,1,0,0,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,2,0,,0,0,0,0,
chr_cloth#2532f79082b00832,equ8000_c04.mdl,1,1,,,,,,,-1,,,,,,,,,,,,,,-1,-1,,-1,,,,,,,,,,,,,,-1,,,,,,-1,,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,0,,0,1,1,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#27f67f302ed51e1d,equ8061.mdl,1,2,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,-1,,,,,,,,,,0,,,,,0,0,0,0,0,,0,0,0,,,,,1,,0,0,0,0,,0,0,,0,,,,0,,,,,,1,0,,,,1,,0,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#2853618bcc609893,equ8000_c01.mdl,1,1,,,,,,,-1,,,,,,,,,,,,,,,,,-1,,,-1,,,,,,,,,,,-1,,,,,,-1,,,-1,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,0,,0,0,0,0,,1,0,,1,,,,0,,,,,,0,1,,,,0,,1,0,,1,,,,,0,0,,0,0,0,0,
chr_cloth#286b4f4510116fe8,chr0303.mdl,1,1,,,,,,,-1,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,,-1,,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,0,,0,0,0,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#295be562dc9fc616,equ0160.mdl,1,1,,,,,,,-1,-1,-1,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,0,0,0,,1,1,1,,,,,0,,1,0,0,0,,0,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,1,1,,0,0,0,0,
chr_cloth#2b9c0f2851a6007e,chr0000_c52.mdl,1,1,,,,,,,-1,,,,,,,,,,,,,-1,-1,-1,,-1,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,0,,1,1,1,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,0,0,,0,0,0,0,
chr_cloth#2dfa0fb0158282c9,chr0000_c12.mdl,1,2,,,,,,,-1,,,,,,,,,,,,,-1,,,,-1,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,0,,1,0,0,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,0,0,,0,0,0,0,
chr_cloth#2fcc767a548d88fa,chr5302_c01.mdl,1,1,,,,,,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,1,,0,0,0,0,,0,0,,0,,,,0,,,,,,0,1,,,,0,,0,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#302496997acbb24b,chr5301_c05.mdl,1,1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,0,,0,0,0,0,,0,0,,0,,,,0,,,,,,0,0,,,,0,,0,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#3229a9316317c44f,chr0000_c53.mdl,1,1,,,,,,,-1,,,,,,,-1,,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,1,,0,0,0,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,0,0,,0,0,0,0,
chr_cloth#33c952f4581366bf,equ8022.mdl,1,1,-1,,,,,,-1,,,,,,,-1,,,,,,,,,,-1,,,,,,,-1,,,,,,,-1,,,,,,-1,,,,,,,,1,,,,,0,0,0,0,0,,1,0,0,,,,,1,,0,0,0,0,,1,0,,0,,,,1,,,,,,0,1,,,,0,,1,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#36cdb919a6f05142,equ0325.mdl,1,1,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,0,,,,,0,0,0,0,0,,0,0,0,,,,,0,,1,0,0,0,,0,0,,0,,,,0,,,,,,1,0,,,,0,,0,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#370eba1f0511d5dc,chr9980.mdl,1,1,,,,,,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,1,,0,0,0,0,,0,0,,0,,,,0,,,,,,0,0,,,,0,,0,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#3c8eb3a44c0a8e0b,chr5101_c01.mdl,1,1,,,,,,,-1,-1,-1,,,,,,,,,-1,,-1,,,,-1,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,0,0,1,,1,1,1,,,,,0,,1,0,0,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,2,2,,0,0,0,0,
chr_cloth#3d2732e2feb42f62,mon0107.mdl,1,1,,,,,,,-1,,,,,,,-1,,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,1,,0,0,0,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,1,0,,0,0,0,0,
chr_cloth#3dc22e3100df1530,ef_obj_n000.mdl,1,0,,,,,,,-1,,,,,,,-1,,,,,,,,,,-1,,,,,,,-1,,,,,,,-1,,,,,,-1,,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,1,,0,0,0,0,,1,0,,0,,,,1,,,,,,0,1,,,,0,,1,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#412bb61a6468302c,mon0002.mdl,1,1,-1,,,,,,-1,-1,,,,,,-1,,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,,-1,,,,,,,,1,,,,,0,0,0,0,0,,1,1,0,,,,,1,,,0,0,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,0,,0,,,,,1,0,,0,0,0,0,
chr_cloth#41a1e83ef082f2de,d08evt00.mdl,1,2,,,,,,,-1,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,0,,0,0,0,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,0,0,,0,0,0,0,
chr_cloth#41ef7e2be51a638f,equ0605_c00.mdl,1,1,,,,,,,-1,,,,,,,,,,,,,-1,,,,-1,,,-1,,,,-1,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,0,,1,0,0,0,,1,0,,1,,,,1,,,,,,0,1,,,,0,,1,1,,0,,,,,0,0,,0,0,0,0,
chr_cloth#432b60ce4a9cbc14,chrm000_mat.mdl,1,0,,,,,,,-1,,,,,,,,,,,,,,,,,,,,-1,,,,-1,,,,,,,-1,,,,,,,,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,0,,,0,0,0,,0,0,,1,,,,1,,,,,,0,1,,,,0,,0,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#438b78bf8c8c8880,chr9998.mdl,1,0,-1,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,1,,,,,0,0,0,0,0,,1,1,0,,,,,0,,0,0,0,0,,0,0,,0,,,,0,,,,,,0,1,,,,0,,0,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#4484e30fafc4a354,chr0533.mdl,1,1,,,,,,,-1,-1,-1,,,,,,,,,-1,,-1,,,,-1,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,0,0,1,,1,1,1,,,,,0,,1,0,0,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,1,1,,0,0,0,0,
chr_cloth#459337de852e1d54,etc0030.mdl,1,1,,,,,,,-1,,,,,,,-1,,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,,-1,,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,1,,1,0,0,0,,0,0,,0,,,,0,,,,,,0,1,,,,0,,1,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#4618a25d9e460d27,chr5002_c05.mdl,1,2,,,,,,,-1,,,,,,,,,,,,,-1,,,,-1,,,-1,,,,,,,,,,,-1,,,,,,-1,,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,0,,1,0,0,0,,1,0,,1,,,,0,,,,,,0,1,,,,0,,1,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#492186e19ef5f93d,chr9999.mdl,1,0,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,-1,,,,,,,,1,,,,,0,0,0,0,0,,1,0,0,,,,,0,,0,0,0,0,,0,0,,0,,,,0,,,,,,0,1,,,,0,,1,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#4963e8ecd3f697c8,mon0013.mdl,1,1,,,,,,,-1,,-1,,,,,,,,-1,-1,,,,,,-1,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,0,1,1,,1,0,1,,,,,0,,,0,0,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,1,0,,0,0,0,0,
chr_cloth#4972b9c8faca0fcd,etc0010.mdl,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,0,,,,,0,0,0,0,0,,0,0,0,,,,,0,,0,0,0,0,,0,0,,0,,,,0,,,,,,1,1,,,,0,,0,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#49a14c455cdbfbcd,mon2003.mdl,1,1,,,,,,,-1,-1,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,,-1,,,,,,,,0,,,,,0,0,0,0,0,,1,1,0,,,,,0,,0,0,0,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,0,,0,,,,,1,0,,0,0,0,0,
chr_cloth#4cfe5bd11d92cd8b,chr0000_c95.mdl,1,1,,,,,,,-1,,,,,,,,,-1,-1,,,-1,,,,-1,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,1,1,0,,1,0,0,,,,,0,,1,0,0,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,2,2,,0,0,0,0,
chr_cloth#5360d85d9b625ae1,equ0507.mdl,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,0,,,,,0,0,0,0,0,,0,0,0,,,,,0,,0,0,0,0,,0,0,,0,,,,0,,,,,,1,0,,,,0,,0,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#53b99aca505c886c,chr0000_c90.mdl,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,0,,,,,0,0,0,0,0,,0,0,0,,,,,0,,0,0,0,0,,0,0,,0,,,,0,,,,,,1,0,,,,0,,0,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#53ea785a717cd2dd,equ8020_c01.mdl,1,0,-1,,,,,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,1,,,,,0,0,0,0,0,,1,0,0,,,,,1,,0,0,0,0,,0,0,,0,,,,0,,,,,,0,1,,,,0,,0,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#54c9dc3574e77b90,chr5000_c52.mdl,1,1,,,,,,,-1,,,,,,,-1,,,,,,-1,-1,-1,,-1,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,1,,1,1,1,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,0,0,,0,0,0,0,
chr_cloth#5587734ba22a6c68,chr0103.mdl,1,1,-1,,,,,,-1,,,,,,,,,-1,-1,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,1,,,,,0,0,1,1,0,,1,0,0,,,,,0,,0,0,0,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,2,2,,0,0,0,0,
chr_cloth#5a64328f3d93a6c7,ef_obj_j047.mdl,1,1,-1,,,,,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,1,,,,,0,0,0,0,0,,1,0,0,,,,,1,,0,0,0,0,,0,0,,0,,,,0,,,,,,0,0,,,,0,,0,0,,1,,,,,1,0,,0,0,0,0,
chr_cloth#5e91d37af0fde7ff,mon2001.mdl,1,1,,,,,,,-1,,,,,,,-1,,,,,,-1,-1,-1,,-1,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,1,,1,1,1,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,1,0,,0,0,0,0,
chr_cloth#5f52e2ed791cfed9,equ0606.mdl,1,1,,,,,-1,,-1,,,,,,,,,,,,,-1,,,,-1,,,,,,,-1,,,,,,,-1,,,,,,-1,,,,,,,,0,,,,,1,0,0,0,0,,1,0,0,,,,,0,,1,0,0,0,,1,0,,0,,,,1,,,,,,0,1,,,,0,,1,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#600f846eb91b211a,chr5303_c01.mdl,1,1,,,,,,,-1,,,,,,,,,-1,,,,-1,,-1,,-1,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,1,0,0,,1,0,0,,,,,0,,1,0,1,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,1,0,,0,0,0,0,
